Time,OH_ppm
1.08E-06,3.43438
1.14E-05,3.31419
1.52E-05,2.5575
2.82E-05,0.344428
3.11E-05,0.741057
5.61E-05,0.539619
6.06E-05,0.934676
6.74E-05,0.445482
7.55E-05,2.17415
7.99E-05,1.7015
8.32E-05,1.06982
9.37E-05,0.585031
9.33E-05,1.20584
0.000106668,0.53235
0.000113126,1.0059
0.000127384,0.518472
0.000133148,0.336761
0.00013842,0.758076
0.000145636,1.67504
0.000163254,1.32264
0.000172748,1.33643
0.000173991,0.920128
0.000183264,1.6003
0.000189187,1.38751
0.000192648,0.922849
0.000199145,1.64158
0.000209251,1.89956
0.000205008,0.43492
0.00021087,1.27439
0.000217139,0.567633
0.00022163,1.02241
0.000228367,1.69967
0.000234293,1.40401
0.000244298,1.54295
0.000254692,2.07048
0.000255008,0.976575
0.000263978,1.80725
0.000272091,1.36896
0.000280159,1.67214
0.000287348,2.11041
0.000294577,2.8011
0.000297283,2.32886
0.00030152,3.23483
0.000306209,1.85624
0.000318272,2.99116
0.000317066,2.2094
0.000325033,2.90358
0.000329814,2.10308
0.000332864,2.75259
0.00033742,3.60967
0.000344603,3.09238
0.00034781,2.579
0.000351525,2.78236
0.000355617,3.81066
0.000358025,3.51351
0.000361301,2.51335
0.000369542,3.2147
0.00037615,3.26599
0.000386888,3.89185
0.000384878,2.57861
0.000395936,4.18841
0.000398352,4.41541
0.000410229,4.52915
0.000411,4.08725
0.000420954,4.52959
0.000427431,4.64599
0.000434875,5.1429
0.000435952,5.73697
0.000446,5.93874
0.000451047,5.72615
0.000460151,5.60635
0.000460048,5.98271
0.000462858,5.13122
0.000470465,6.65357
0.000474189,5.37853
0.000479188,5.93818
0.000484169,6.38513
0.000489373,5.15538
0.000496885,6.076
0.000502114,7.05262
0.000505769,6.36803
0.000515007,6.83138
0.000513646,6.50303
0.000524887,6.18825
0.00052547,6.76079
0.00053792,7.24492
0.000541175,6.72252
0.000555349,6.32794
0.000557891,6.86921
0.000563919,7.7265
0.000567309,7.43177
0.000575659,8.33611
0.00058205,7.50831
0.000589732,9.49722
0.000594566,9.02464
0.00059897,9.95383
0.000603141,10.4525
0.000604574,10.2026
0.000617011,9.51776
0.000621194,9.75201
0.000626011,9.16721
0.00062938,8.7458
0.000636023,10.374
0.000645125,8.96222
0.000652265,10.6288
0.00065612,10.173
0.000664757,9.53801
0.000663423,9.79204
0.000673309,10.2073
0.000683698,11.0439
0.000690037,10.427
0.000694049,10.9595
0.000699859,10.4465