Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
CH3 + NH2 <=> CH2NH + H2,1.00E-09,1.00E-09,1.00E-09
CH2NH2 <=> CH2NH + H,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + H <=> CH2NH + H2,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + O <=> CH2O + NH2,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + O <=> CH2NH + OH,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + OH <=> CH2OH + NH2,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + OH <=> CH2NH + H2O,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + O2 <=> CH2NH + HO2,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + CH3 <=> C2H5 + NH2,1.00E-09,1.00E-09,1.00E-09
CH2NH2 + CH3 <=> CH2NH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3NH <=> CH2NH + H,1.00E-09,1.00E-09,1.00E-09
CH3NH + H <=> CH2NH + H2,1.00E-09,1.00E-09,1.00E-09
CH3NH + O <=> CH2NH + OH,1.00E-09,1.00E-09,1.00E-09
CH3NH + OH <=> CH2NH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NH <=> CH2NH + CH4,1.00E-09,1.00E-09,1.00E-09
CH2NH + H <=> H2 + H2CN,1.00E-09,1.00E-09,1.00E-09
CH2NH + H <=> H2 + HCNH,1.00E-09,1.00E-09,1.00E-09
CH2NH + O <=> H2CN + OH,1.00E-09,1.00E-09,1.00E-09
CH2NH + O <=> HCNH + OH,1.00E-09,1.00E-09,1.00E-09
CH2NH + O <=> CH2O + NH,1.00E-09,1.00E-09,1.00E-09
CH2NH + OH <=> H2CN + H2O,1.00E-09,1.00E-09,1.00E-09
CH2NH + OH <=> H2O + HCNH,1.00E-09,1.00E-09,1.00E-09
CH2NH + CH3 <=> CH4 + H2CN,1.00E-09,1.00E-09,1.00E-09
CH2NH + CH3 <=> CH4 + HCNH,1.00E-09,1.00E-09,1.00E-09
CH2NH + NH2 <=> H2CN + NH3,1.00E-09,1.00E-09,1.00E-09
CH2NH + NH2 <=> HCNH + NH3,1.00E-09,1.00E-09,1.00E-09
H2CN <=> H + HCN,1.00E-09,1.00E-09,1.00E-09
H + H2CN <=> H2 + HCN,1.00E-09,1.00E-09,1.00E-09
H2CN + O <=> HCN + OH,1.00E-09,1.00E-09,1.00E-09
H2CN + OH <=> H2O + HCN,1.00E-09,1.00E-09,1.00E-09
H2CN + OH <=> H2O + HCN,1.00E-09,1.00E-09,1.00E-09
H2CN + O2 <=> CH2O + NO,1.00E-09,1.00E-09,1.00E-09
H2CN + NH2 <=> HCN + NH3,1.00E-09,1.00E-09,1.00E-09
H2CN + NH <=> HCN + NH2,1.00E-09,1.00E-09,1.00E-09
H2CN + N <=> CH2 + N2,1.00E-09,1.00E-09,1.00E-09
HCNH <=> H + HCN,1.00E-09,1.00E-09,1.00E-09
H + HCNH <=> H + H2CN,1.00E-09,1.00E-09,1.00E-09
H + HCNH <=> H2 + HCN,1.00E-09,1.00E-09,1.00E-09
HCNH + O <=> H + HNCO,1.00E-09,1.00E-09,1.00E-09
HCNH + O <=> HCN + OH,1.00E-09,1.00E-09,1.00E-09
HCNH + OH <=> H2O + HCN,1.00E-09,1.00E-09,1.00E-09
CH3 + HCNH <=> CH4 + HCN,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 <=> C2H4 + NH3,1.00E-09,1.00E-09,1.00E-09
C2H5 + NH2 (+M) <=> CH3CH2NH2 (+M),1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + H <=> CH3CH2NH2,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + H <=> CH3CH2NH2,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + H <=> CH2CH2NH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + H <=> CH3CHNH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + H <=> CH3CH2NH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + O <=> CH2CH2NH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + O <=> CH3CHNH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + O <=> CH3CH2NH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + OH <=> CH2CH2NH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + OH <=> CH3CHNH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + OH <=> CH3CH2NH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + HO2 <=> CH2CH2NH2 + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + HO2 <=> CH3CHNH2 + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2NH2 <=> CH2CH2NH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2NH2 <=> CH3CHNH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2NH2 <=> CH3CH2NH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + NH2 <=> CH2CH2NH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + NH2 <=> CH3CHNH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH2 + NH2 <=> CH3CH2NH + NH3,1.00E-09,1.00E-09,1.00E-09
C2H4 + NH2 <=> CH2CH2NH2,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + H <=> CH2CHNH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + O <=> CH2NH2 + CH2O,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + OH <=> CH2CHNH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + HO2 => CH2NH2 + CH2O + OH,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + O2 <=> CH2CHNH2 + HO2,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + HCO <=> CH3CH2NH2 + CO,1.00E-09,1.00E-09,1.00E-09
CH2CH2NH2 + CH3 <=> CH2CHNH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + H (+M) <=> CH3CHNH2 (+M),1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 <=> CH3CHNH + H,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + H <=> CH2CHNH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + H <=> CH2NH2 + CH3,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + H <=> C2H4 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + H <=> C2H5 + NH2,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + O <=> CH3 + H2NCHO,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + O <=> CH2CHNH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + OH <=> CH2CHNH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + HO2 => CH3 + H2NCHO + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + O2 <=> CH2CHNH2 + HO2,1.00E-09,1.00E-09,1.00E-09
CH3CHNH2 + HCO <=> CH3CH2NH2 + CO,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CHNH2 <=> CH2CHNH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH <=> CH2NH + CH3,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH <=> CH3CHNH + H,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH + H <=> CH2NH2 + CH3,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH + H <=> CH3CHNH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH + O <=> CH3CHNH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2NH + OH <=> CH3CHNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2NH <=> CH3CHNH + CH4,1.00E-09,1.00E-09,1.00E-09
CHCHNH2 + H (+M) <=> CH2CHNH2 (+M),1.00E-09,1.00E-09,1.00E-09
CH2CNH2 + H (+M) <=> CH2CHNH2 (+M),1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + H <=> CHCHNH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + H <=> CH2CNH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + H <=> CH2CHNH + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + O <=> CH3 + H2NCO,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + O <=> CH3 + H2NCO,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + O <=> CH2CHNH + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + OH <=> CHCHNH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + OH <=> CH2CNH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + OH <=> CH2CHNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + CH3 <=> CH4 + CHCHNH2,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + CH3 <=> CH2CNH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + CH3 <=> CH2CHNH + CH4,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + NH2 <=> CHCHNH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + NH2 <=> CH2CNH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH2CHNH2 + NH2 <=> CH2CHNH + NH3,1.00E-09,1.00E-09,1.00E-09
CH3CHNH <=> CH2CHNH2,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + H <=> CH3CHNH,1.00E-09,1.00E-09,1.00E-09
CH3 + HCNH <=> CH3CHNH,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + H <=> CH2CHNH2 + H,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + H <=> CH3CNH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + H <=> CH2CHNH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + H <=> CH3CHN + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + O <=> CH3CNH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + O <=> CH2CHNH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + O <=> CH3CHN + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + OH <=> CH3CNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + OH <=> CH2CHNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + OH <=> CH3CHN + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CHNH <=> CH3CNH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CHNH <=> CH2CHNH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CHNH <=> CH3CHN + CH4,1.00E-09,1.00E-09,1.00E-09
CH3CHNH + NH2 <=> CH3CHN + NH3,1.00E-09,1.00E-09,1.00E-09
C2H2 + NH2 <=> CHCHNH2,1.00E-09,1.00E-09,1.00E-09
CHCNH2 + H (+M) <=> CHCHNH2 (+M),1.00E-09,1.00E-09,1.00E-09
CHCHNH2 + H <=> CHCNH2 + H2,1.00E-09,1.00E-09,1.00E-09
CHCHNH2 + OH <=> CHCNH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CHCHNH2 + O2 <=> NH2 + OCHCHO,1.00E-09,1.00E-09,1.00E-09
CH3 + CHCHNH2 <=> CH4 + CHCNH2,1.00E-09,1.00E-09,1.00E-09
CHCNH2 + H (+M) <=> CH2CNH2 (+M),1.00E-09,1.00E-09,1.00E-09
CH2CNH2 + H <=> CHCNH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH2CNH2 + O <=> CH2CO + NH2,1.00E-09,1.00E-09,1.00E-09
CH2CNH2 + OH <=> CHCNH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CNH2 + O2 <=> NH2 + OCHCHO,1.00E-09,1.00E-09,1.00E-09
CH2CNH2 + CH3 <=> CH4 + CHCNH2,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + H <=> CH3 + HCNH,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + H <=> CH3CNH + H,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + H <=> CH2CNH + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + O <=> CH2CNH + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + OH <=> CH2CNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + OH <=> CH2OH + HCNH,1.00E-09,1.00E-09,1.00E-09
CH2CHNH + O2 <=> CH2O + CO + NH2,1.00E-09,1.00E-09,1.00E-09
CH3CNH <=> CH3 + HNC,1.00E-09,1.00E-09,1.00E-09
CH3CNH <=> CH3CN + H,1.00E-09,1.00E-09,1.00E-09
CH3CNH + H <=> CH3 + HCNH,1.00E-09,1.00E-09,1.00E-09
CH3CNH + H <=> CH2CNH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CNH + H <=> CH3CN + H2,1.00E-09,1.00E-09,1.00E-09
CH3CNH + O <=> CH3 + HNCO,1.00E-09,1.00E-09,1.00E-09
CH3CNH + O <=> CH2CNH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CNH + O <=> CH3CN + OH,1.00E-09,1.00E-09,1.00E-09
CH3CNH + OH <=> CH2CNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CNH + OH <=> CH3CN + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CNH + O2 <=> CH2O + CO + NH2,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CNH <=> CH2CNH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CNH <=> CH3CN + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + HCN <=> CH3CHN,1.00E-09,1.00E-09,1.00E-09
CH3CHN + H <=> CH3CN + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHN + H <=> CH2CHN + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) + H2 <=> CH3CHN + H,1.00E-09,1.00E-09,1.00E-09
CH3CHN + O <=> CH3CN + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHN + OH <=> CH3CN + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHN + OH <=> CH2CHN + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHN + OH <=> CH2CHN(S) + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHN + NH2 <=> CH3CN + NH3,1.00E-09,1.00E-09,1.00E-09
CHCNH2 + H <=> CHCNH + H2,1.00E-09,1.00E-09,1.00E-09
CHCNH2 + O <=> CHCNH + OH,1.00E-09,1.00E-09,1.00E-09
CHCNH2 + O <=> HCCO + NH2,1.00E-09,1.00E-09,1.00E-09
CHCNH2 + OH <=> CHCNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CHCNH2 <=> CH4 + CHCNH,1.00E-09,1.00E-09,1.00E-09
CHCNH2 + NH2 <=> CHCNH + NH3,1.00E-09,1.00E-09,1.00E-09
CH2CNH <=> CH3CN,1.00E-09,1.00E-09,1.00E-09
CH2CNH + H <=> CH3CN + H,1.00E-09,1.00E-09,1.00E-09
CH2CNH + H <=> CH3 + HNC,1.00E-09,1.00E-09,1.00E-09
CH2CNH + H <=> CHCNH + H2,1.00E-09,1.00E-09,1.00E-09
CH2CNH + H <=> CH2CN + H2,1.00E-09,1.00E-09,1.00E-09
CH2CNH + O <=> CH2 + HNCO,1.00E-09,1.00E-09,1.00E-09
CH2CNH + O <=> CHCNH + OH,1.00E-09,1.00E-09,1.00E-09
CH2CNH + O <=> CH2CN + OH,1.00E-09,1.00E-09,1.00E-09
CH2CNH + OH <=> CH2OH + HNC,1.00E-09,1.00E-09,1.00E-09
CH2CNH + OH <=> CH3 + HNCO,1.00E-09,1.00E-09,1.00E-09
CH2CNH + OH <=> CHCNH + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CNH + OH <=> CH2CN + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CNH + CH3 <=> CH2CN + CH4,1.00E-09,1.00E-09,1.00E-09
CH2CNH + NH2 <=> CH2CN + NH3,1.00E-09,1.00E-09,1.00E-09
CH2CHN + H <=> CH3 + HCN,1.00E-09,1.00E-09,1.00E-09
CH2CHN + O <=> CH2O + HCN,1.00E-09,1.00E-09,1.00E-09
CH2CHN + O2 <=> CH2O + HNCO,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) + M <=> CH2CHN + M,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) + H <=> CH2CHN + H,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) + H <=> CH3 + HCN,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) <=> c-C2H3N,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) <=> CH3CN,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) + O => H + HCN + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHN(S) + OH => CH2O + H + HCN,1.00E-09,1.00E-09,1.00E-09
c-C2H3N <=> CH3CN,1.00E-09,1.00E-09,1.00E-09
H + c-C2H3N <=> CH2NCH2,1.00E-09,1.00E-09,1.00E-09
H + c-C2H3N <=> CH2CHNH,1.00E-09,1.00E-09,1.00E-09
O + c-C2H3N => H2CN + HCO,1.00E-09,1.00E-09,1.00E-09
O + c-C2H3N => C2H3 + NO,1.00E-09,1.00E-09,1.00E-09
OH + c-C2H3N => CH2O + H2CN,1.00E-09,1.00E-09,1.00E-09
CHCNH + H <=> CH2 + HNC,1.00E-09,1.00E-09,1.00E-09
CHCNH + O <=> CO + H + HNC,1.00E-09,1.00E-09,1.00E-09
CHCNH + OH <=> HCNH + HCO,1.00E-09,1.00E-09,1.00E-09
CHCNH + O2 <=> HCO + HNCO,1.00E-09,1.00E-09,1.00E-09
CHCNH + O2 <=> CO + HNC + OH,1.00E-09,1.00E-09,1.00E-09
CHCNH + O2 <=> HCO + HNC + O,1.00E-09,1.00E-09,1.00E-09
H2NCHO (+M) <=> CO + NH3 (+M),1.00E-09,1.00E-09,1.00E-09
H2NCHO + M <=> HCO + NH2 + M,1.00E-09,1.00E-09,1.00E-09
H2NCHO + M <=> H + H2NCO + M,1.00E-09,1.00E-09,1.00E-09
H + H2NCHO <=> H2 + H2NCO,1.00E-09,1.00E-09,1.00E-09
H + H2NCHO <=> HCO + NH3,1.00E-09,1.00E-09,1.00E-09
H2NCHO + O <=> H2NCO + OH,1.00E-09,1.00E-09,1.00E-09
H2NCHO + OH <=> H2NCO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + H2NCHO <=> CH4 + H2NCO,1.00E-09,1.00E-09,1.00E-09
H2NCHO + NH2 <=> H2NCO + NH3,1.00E-09,1.00E-09,1.00E-09
H2NCO (+M) <=> CO + NH2 (+M),1.00E-09,1.00E-09,1.00E-09
H + H2NCO <=> H2 + HNCO,1.00E-09,1.00E-09,1.00E-09
H2NCO + O <=> HNCO + OH,1.00E-09,1.00E-09,1.00E-09
H2NCO + OH <=> H2O + HNCO,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + H (+M) <=> CH3NHCH3 (+M),1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + H <=> CH3NHCH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + H <=> CH3NHCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + H <=> CH3NCH3 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + O <=> CH3NHCH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + O <=> CH3NCH3 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + OH <=> CH3NHCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + OH <=> CH3NCH3 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH3 <=> CH3NHCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH3 <=> CH3NCH3 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + NH2 <=> CH3NHCH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + NH2 <=> CH3NCH3 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 <=> CH2NH + CH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 <=> CH3NCH2 + H,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + H <=> CH3NCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + O <=> CH2O + CH3NH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + O <=> CH3NCH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + OH <=> CH2OH + CH3NH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + OH <=> CH3NCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH2 <=> C2H5 + CH3NH,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH2 <=> CH3NCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 <=> CH3NCH2 + H,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + H <=> CH3NCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + O <=> CH3 + CH3NO,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + OH <=> CH3NCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + O2 <=> CH3NO + CH3O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NCH3 <=> CH3NCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + H <=> CH3NCH2,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + H <=> CH2NCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + H <=> CH3NCH + H2,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + O <=> CH2NCH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + O <=> CH3NCH + OH,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + OH <=> CH2NCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + OH <=> CH3NCH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NCH2 <=> CH2NCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NCH2 <=> CH3NCH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + NH2 <=> CH2NCH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + NH2 <=> CH3NCH + NH3,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 <=> CH3NCH,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + H <=> CH3 + H2CN,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + O <=> CH2O + H2CN,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + OH <=> CH2OH + H2CN,1.00E-09,1.00E-09,1.00E-09
CH3NCH <=> CH3 + HCN,1.00E-09,1.00E-09,1.00E-09
CH3NCH + H <=> CH2NCH2 + H,1.00E-09,1.00E-09,1.00E-09
CH3NCH + O => CH3 + H + NCO,1.00E-09,1.00E-09,1.00E-09